fpr,tpr,class
0.0,0.0,boron-B
0.0,0.05,boron-B
0.0,0.6,boron-B
0.02197802197802198,0.6,boron-B
0.02197802197802198,0.65,boron-B
0.04395604395604396,0.65,boron-B
0.04395604395604396,0.7,boron-B
0.06593406593406594,0.7,boron-B
0.06593406593406594,0.75,boron-B
0.07692307692307693,0.75,boron-B
0.07692307692307693,0.85,boron-B
0.12087912087912088,0.85,boron-B
0.12087912087912088,0.9,boron-B
0.15934065934065933,0.9,boron-B
0.15934065934065933,0.95,boron-B
0.5769230769230769,0.95,boron-B
0.5769230769230769,1.0,boron-B
0.989010989010989,1.0,boron-B
1.0,1.0,boron-B
0.0,0.0,calcium-Ca
0.0,0.030303030303030304,calcium-Ca
0.0,0.5151515151515151,calcium-Ca
0.005917159763313609,0.5151515151515151,calcium-Ca
0.005917159763313609,0.5454545454545454,calcium-Ca
0.023668639053254437,0.5454545454545454,calcium-Ca
0.023668639053254437,0.696969696969697,calcium-Ca
0.029585798816568046,0.696969696969697,calcium-Ca
0.029585798816568046,0.7878787878787878,calcium-Ca
0.04142011834319527,0.7878787878787878,calcium-Ca
0.04142011834319527,0.8181818181818182,calcium-Ca
0.08284023668639054,0.8181818181818182,calcium-Ca
0.08284023668639054,0.8484848484848485,calcium-Ca
0.11834319526627218,0.8484848484848485,calcium-Ca
0.11834319526627218,0.8787878787878788,calcium-Ca
0.17751479289940827,0.8787878787878788,calcium-Ca
0.17751479289940827,0.9090909090909091,calcium-Ca
0.1834319526627219,0.9090909090909091,calcium-Ca
0.1834319526627219,0.9393939393939394,calcium-Ca
0.34911242603550297,0.9393939393939394,calcium-Ca
0.34911242603550297,0.9696969696969697,calcium-Ca
0.378698224852071,0.9696969696969697,calcium-Ca
0.378698224852071,1.0,calcium-Ca
0.9822485207100592,1.0,calcium-Ca
1.0,1.0,calcium-Ca
0.0,0.0,healthy
0.004975124378109453,0.0,healthy
0.009950248756218905,0.0,healthy
0.009950248756218905,1.0,healthy
1.0,1.0,healthy
0.0,0.0,iron-Fe
0.0,0.07692307692307693,iron-Fe
0.0,0.7692307692307693,iron-Fe
0.005291005291005291,0.7692307692307693,iron-Fe
0.005291005291005291,0.8461538461538461,iron-Fe
0.06349206349206349,0.8461538461538461,iron-Fe
0.06349206349206349,0.9230769230769231,iron-Fe
0.15343915343915343,0.9230769230769231,iron-Fe
0.15343915343915343,1.0,iron-Fe
