fpr,tpr,class
0.006578947368421052,0.82,phosphorus-P
0.006578947368421052,0.84,phosphorus-P
0.013157894736842105,0.84,phosphorus-P
0.013157894736842105,0.86,phosphorus-P
0.019736842105263157,0.86,phosphorus-P
0.019736842105263157,0.9,phosphorus-P
0.10526315789473684,0.9,phosphorus-P
0.10526315789473684,0.92,phosphorus-P
0.11842105263157894,0.92,phosphorus-P
0.11842105263157894,0.94,phosphorus-P
0.13815789473684212,0.94,phosphorus-P
0.13815789473684212,0.96,phosphorus-P
0.5657894736842105,0.96,phosphorus-P
0.5657894736842105,0.98,phosphorus-P
0.7039473684210527,0.98,phosphorus-P
0.7039473684210527,1.0,phosphorus-P
1.0,1.0,phosphorus-P
0.0,0.0,potasium-K
0.0,0.05263157894736842,potasium-K
0.0,0.631578947368421,potasium-K
0.00546448087431694,0.631578947368421,potasium-K
0.00546448087431694,0.7368421052631579,potasium-K
0.02185792349726776,0.7368421052631579,potasium-K
0.02185792349726776,0.7894736842105263,potasium-K
0.0546448087431694,0.7894736842105263,potasium-K
0.0546448087431694,0.8421052631578947,potasium-K
0.07650273224043716,0.8421052631578947,potasium-K
0.07650273224043716,0.8947368421052632,potasium-K
0.13114754098360656,0.8947368421052632,potasium-K
0.13114754098360656,0.9473684210526315,potasium-K
0.2568306010928962,0.9473684210526315,potasium-K
0.2568306010928962,1.0,potasium-K
1.0,1.0,potasium-K
